Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,Credits
1990,111,Tie Me Up! Tie Me Down!,Comedy,"Banderas, Antonio","Abril, Victoria","Almod�var, Pedro",68,No,"Tie Me Up! Tie Me Down!: a Banderas, Antonio and Abril, Victoria film’s, directed by Almod�var, Pedro"
1991,113,High Heels,Comedy,"Bos�, Miguel","Abril, Victoria","Almod�var, Pedro",68,No,"High Heels: a Bos�, Miguel and Abril, Victoria film’s, directed by Almod�var, Pedro"
1963,109,Donovan's Reef,Comedy,"Wayne, John","Allen, Elizabeth","Ford, John",62,No,"Donovan's Reef: a Wayne, John and Allen, Elizabeth film’s, directed by Ford, John"
1988,101,Scrooged,Comedy,"Murray, Bill","Allen, Karen","Donner, Richard",15,No,"Scrooged: a Murray, Bill and Allen, Karen film’s, directed by Donner, Richard"
1967,130,Casino Royale,Comedy,"Niven, David","Andress, Ursula","Hughes, Ken",11,No,"Casino Royale: a Niven, David and Andress, Ursula film’s, directed by Hughes, Ken"
1979,121,Ten,Comedy,"Moore, Dudley","Andrews, Julie","Edwards, Blake",60,No,"Ten: a Moore, Dudley and Andrews, Julie film’s, directed by Edwards, Blake"
1983,118,"Man Who Loved Women, The",Comedy,"Reynolds, Burt","Andrews, Julie","Edwards, Blake",67,No,"Man Who Loved Women, The: a Reynolds, Burt and Andrews, Julie film’s, directed by Edwards, Blake"
1985,55,Gonzo Presents Muppet Weird Stuff,Comedy,"Cleese, John","Andrews, Julie",,88,No,
1984,140,Tartuffe,Comedy,"Depardieu, G�rard","Annen, Paule","Depardieu, G�rard",67,No,"Tartuffe: a Depardieu, G�rard and Annen, Paule film’s, directed by Depardieu, G�rard"
1988,104,A New Life,Comedy,"Alda, Alan",Ann-Margret,"Alda, Alan",53,No,"A New Life: a Alda, Alan and Ann-Margret film’s, directed by Alda, Alan"
1986,108,Nobody's Fool,Comedy,"Roberts, Eric","Arquette, Rosanna","Purcell, Evelyn",52,No,"Nobody's Fool: a Roberts, Eric and Arquette, Rosanna film’s, directed by Purcell, Evelyn"
1985,97,After Hours,Comedy,"Dunne, Griffin","Arquette, Rosanna","Scorsese, Martin",81,No,"After Hours: a Dunne, Griffin and Arquette, Rosanna film’s, directed by Scorsese, Martin"
1985,104,Desperately Seeking Susan,Comedy,"Quinn, Aidan","Arquette, Rosanna","Seidelman, Susan",41,No,"Desperately Seeking Susan: a Quinn, Aidan and Arquette, Rosanna film’s, directed by Seidelman, Susan"
1971,102,A New Leaf,Comedy,"Matthau, Walter","Arrick, Rose","May, Elaine",83,No,"A New Leaf: a Matthau, Walter and Arrick, Rose film’s, directed by May, Elaine"
1957,99,Mademoiselle Striptease,Comedy,"Gelin, Daniel","Bardot, Brigitte","Allegret, Marc",25,No,"Mademoiselle Striptease: a Gelin, Daniel and Bardot, Brigitte film’s, directed by Allegret, Marc"
1958,77,That Naughty Girl,Comedy,"Bretonniere, Jean","Bardot, Brigitte","Boisrond, Michel",37,No,"That Naughty Girl: a Bretonniere, Jean and Bardot, Brigitte film’s, directed by Boisrond, Michel"
1959,90,Voulez-Vous Danser Avec Moi?,Comedy,"Vidal, Henri","Bardot, Brigitte","Boisrond, Michel",16,No,"Voulez-Vous Danser Avec Moi?: a Vidal, Henri and Bardot, Brigitte film’s, directed by Boisrond, Michel"
1965,100,Dear Brigitte,Comedy,"Mumy, Billy","Bardot, Brigitte","Koster, Henry",71,No,"Dear Brigitte: a Mumy, Billy and Bardot, Brigitte film’s, directed by Koster, Henry"
1964,99,"Ravishing Idiot, The",Comedy,"Perkins, Anthony","Bardot, Brigitte","Molinaro, Edouard",34,No,"Ravishing Idiot, The: a Perkins, Anthony and Bardot, Brigitte film’s, directed by Molinaro, Edouard"
1958,90,"Bride Is Much Too Beautiful, The",Comedy,"Jourdan, Louis","Bardot, Brigitte","Surin, Fred",70,No,"Bride Is Much Too Beautiful, The: a Jourdan, Louis and Bardot, Brigitte film’s, directed by Surin, Fred"
