Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,Credits
1978,94,Days of Heaven,Drama,"Gere, Richard","Adams, Brooke","Malick, Terrence",14,No,"Days of Heaven: a Gere, Richard and Adams, Brooke film’s, directed by Malick, Terrence"
1989,99,"American Angels: Baptism of Blood, The",Drama,"Bergen, Robert D.","Adams, Trudy","Sebastian, Beverly",28,No,"American Angels: Baptism of Blood, The: a Bergen, Robert D. and Adams, Trudy film’s, directed by Sebastian, Beverly"
1985,104,Subway,Drama,"Lambert, Christopher","Adjani, Isabelle","Besson, Luc",6,No,"Subway: a Lambert, Christopher and Adjani, Isabelle film’s, directed by Besson, Luc"
1990,149,Camille Claudel,Drama,"Depardieu, G�rard","Adjani, Isabelle","Nuytten, Bruno",32,No,"Camille Claudel: a Depardieu, G�rard and Adjani, Isabelle film’s, directed by Nuytten, Bruno"
1982,188,Fanny and Alexander,Drama,"Ahlstedt, B�rje","Adolphson, Kristina","Bergman, Ingmar",81,Yes,"Fanny and Alexander: a Ahlstedt, B�rje and Adolphson, Kristina film’s, directed by Bergman, Ingmar"
1982,117,Tragedy of a Ridiculous Man,Drama,"Tognazzi, Ugo","Aimee, Anouk","Bertolucci, Bernardo",17,No,"Tragedy of a Ridiculous Man: a Tognazzi, Ugo and Aimee, Anouk film’s, directed by Bertolucci, Bernardo"
1966,103,A Man & a Woman,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",46,Yes,"A Man & a Woman: a Trintignant, Jean-Louis and Aimee, Anouk film’s, directed by Lelouch, Claude"
1986,112,A Man & a Woman: Twenty Years Later,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",49,No,"A Man & a Woman: Twenty Years Later: a Trintignant, Jean-Louis and Aimee, Anouk film’s, directed by Lelouch, Claude"
1966,103,Un Hombre y una Mujer,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",6,Yes,"Un Hombre y una Mujer: a Trintignant, Jean-Louis and Aimee, Anouk film’s, directed by Lelouch, Claude"
1985,112,"Official Story, The",Drama,"Alterio, Hector","Aleandro, Norma","Puenzo, Luiz",39,Yes,"Official Story, The: a Alterio, Hector and Aleandro, Norma film’s, directed by Puenzo, Luiz"
1976,150,"Lindbergh Kidnapping Case, The",Drama,"Hopkins, Anthony","Alexander, Denise","Kulik, Buzz",51,No,"Lindbergh Kidnapping Case, The: a Hopkins, Anthony and Alexander, Denise film’s, directed by Kulik, Buzz"
1988,110,Tucker: The Man & His Dream,Drama,"Bridges, Jeff","Allen, Joan","Coppola, Francis Ford",68,No,"Tucker: The Man & His Dream: a Bridges, Jeff and Allen, Joan film’s, directed by Coppola, Francis Ford"
1988,127,Colors,Drama,"Penn, Sean","Alonso, Maria Conchita","Hopper, Dennis",23,No,"Colors: a Penn, Sean and Alonso, Maria Conchita film’s, directed by Hopper, Dennis"
1990,97,Zandalee,Drama,"Cage, Nicolas","Anderson, Erika","Pillsbury, Sam",80,No,"Zandalee: a Cage, Nicolas and Anderson, Erika film’s, directed by Pillsbury, Sam"
1988,108,Miles from Home,Drama,"Anderson, Kevin","Anderson, Jo","Sinise, Gary",53,No,"Miles from Home: a Anderson, Kevin and Anderson, Jo film’s, directed by Sinise, Gary"
1979,110,Quintet,Drama,"Newman, Paul","Andersson, Bibi","Altman, Robert",19,No,"Quintet: a Newman, Paul and Andersson, Bibi film’s, directed by Altman, Robert"
1960,90,"Devil's Eye, The",Drama,"Kulle, Jarl","Andersson, Bibi","Bergman, Ingmar",20,No,"Devil's Eye, The: a Kulle, Jarl and Andersson, Bibi film’s, directed by Bergman, Ingmar"
1957,91,Wild Strawberries,Drama,"Sj�str�m, Victor","Andersson, Bibi","Bergman, Ingmar",42,Yes,"Wild Strawberries: a Sj�str�m, Victor and Andersson, Bibi film’s, directed by Bergman, Ingmar"
1956,96,"Seventh Seal, The",Drama,"Sydow, Max von","Andersson, Bibi","Bergman, Ingmar",62,No,"Seventh Seal, The: a Sydow, Max von and Andersson, Bibi film’s, directed by Bergman, Ingmar"
1992,90,Germicide,Drama,"Taylor, Rod","Andersson, Bibi",,36,No,
1955,86,Dreams,Drama,"Bj�rnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar",14,No,"Dreams: a Bj�rnstrand, Gunnar and Andersson, Harriet film’s, directed by Bergman, Ingmar"
1955,95,"Naked Night, The",Drama,"Bj�rnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar",38,No,"Naked Night, The: a Bj�rnstrand, Gunnar and Andersson, Harriet film’s, directed by Bergman, Ingmar"
1962,91,Through a Glass Darkly,Drama,"Bj�rnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar",64,Yes,"Through a Glass Darkly: a Bj�rnstrand, Gunnar and Andersson, Harriet film’s, directed by Bergman, Ingmar"
1972,91,Cries & Whispers,Drama,"Josephson, Erland","Andersson, Harriet","Bergman, Ingmar",18,Yes,"Cries & Whispers: a Josephson, Erland and Andersson, Harriet film’s, directed by Bergman, Ingmar"
1954,103,Elephant Walk,Drama,"Finch, Peter","Andrews, Dana",,11,No,
