Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,Credits
1979,122,Cuba,Action,"Connery, Sean","Adams, Brooke","Lester, Richard",6,No,"Cuba: a Connery, Sean and Adams, Brooke film’s, directed by Lester, Richard"
1983,140,Octopussy,Action,"Moore, Roger","Adams, Maud","Glen, John",68,No,"Octopussy: a Moore, Roger and Adams, Maud film’s, directed by Glen, John"
1990,149,Camille Claudel,Drama,"Depardieu, G�rard","Adjani, Isabelle","Nuytten, Bruno",32,No,"Camille Claudel: a Depardieu, G�rard and Adjani, Isabelle film’s, directed by Nuytten, Bruno"
1982,188,Fanny and Alexander,Drama,"Ahlstedt, B�rje","Adolphson, Kristina","Bergman, Ingmar",81,Yes,"Fanny and Alexander: a Ahlstedt, B�rje and Adolphson, Kristina film’s, directed by Bergman, Ingmar"
1976,150,"Lindbergh Kidnapping Case, The",Drama,"Hopkins, Anthony","Alexander, Denise","Kulik, Buzz",51,No,"Lindbergh Kidnapping Case, The: a Hopkins, Anthony and Alexander, Denise film’s, directed by Kulik, Buzz"
1988,127,Colors,Drama,"Penn, Sean","Alonso, Maria Conchita","Hopper, Dennis",23,No,"Colors: a Penn, Sean and Alonso, Maria Conchita film’s, directed by Hopper, Dennis"
1967,130,Casino Royale,Comedy,"Niven, David","Andress, Ursula","Hughes, Ken",11,No,"Casino Royale: a Niven, David and Andress, Ursula film’s, directed by Hughes, Ken"
1979,121,Ten,Comedy,"Moore, Dudley","Andrews, Julie","Edwards, Blake",60,No,"Ten: a Moore, Dudley and Andrews, Julie film’s, directed by Edwards, Blake"
1966,190,Hawaii,Drama,"Sydow, Max von","Andrews, Julie","Hill, George Roy",8,No,"Hawaii: a Sydow, Max von and Andrews, Julie film’s, directed by Hill, George Roy"
1966,125,Torn Curtain,Mystery,"Newman, Paul","Andrews, Julie","Hitchcock, Alfred",35,No,"Torn Curtain: a Newman, Paul and Andrews, Julie film’s, directed by Hitchcock, Alfred"
1965,172,"Sound of Music, The",Music,"Plummer, Christopher","Andrews, Julie","Wise, Robert",59,Yes,"Sound of Music, The: a Plummer, Christopher and Andrews, Julie film’s, directed by Wise, Robert"
1984,140,Tartuffe,Comedy,"Depardieu, G�rard","Annen, Paule","Depardieu, G�rard",67,No,"Tartuffe: a Depardieu, G�rard and Annen, Paule film’s, directed by Depardieu, G�rard"
1992,286,Tommy,Music,"Daltry, Roger",Ann-Margret,"Russell, Ken",5,No,"Tommy: a Daltry, Roger and Ann-Margret film’s, directed by Russell, Ken"
1926,126,Don Juan,Action,"Barrymore, John","Astor, Mary","Crosland, Alan",55,No,"Don Juan: a Barrymore, John and Astor, Mary film’s, directed by Crosland, Alan"
1988,141,Thunderball,Action,"Connery, Sean","Auger, Claudine","Young, Terrence",8,No,"Thunderball: a Connery, Sean and Auger, Claudine film’s, directed by Young, Terrence"
1974,128,Murder on the Orient Express,Mystery,"Balsam, Martin","Bacall, Lauren","Lumet, Sidney",8,Yes,"Murder on the Orient Express: a Balsam, Martin and Bacall, Lauren film’s, directed by Lumet, Sidney"
